Finds No,Unit No,Count,Weight,Thickness,Colour,Bubbles,Original Edge,Fracture Edge,Ridge Lines,Shadow Lines,Quarry shape,Length,Width,Quarry size,Burnt,Patina,Decoration,scratch type,Scratchings,object,Completeness,Other Comments,Control reading,Translucency reading,Percentage translusency,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved
17409,2983,1,0.49,2,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,10.4,6.73,0.647115385,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17394,2996,2,0.52,0.9,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2951,2764,Fireplace,in situ,FALSE
17408,2968,2,36,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17410,2970,2,3.9,1,light green,None,,Straight,,FALSE,,,,,FALSE,heavy,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2999,1680,Drain,in situ,FALSE
17397,2981,5,1.2,1,light green,None,,Straight,,FALSE,,,,,FALSE,,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17357,2982,1,0.3,1,light green,None,,Straight,,FALSE,,,,,TRUE,slight,,,,?pane,,"Heavily cracked, probably burned.",,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17419,2982,1,0.19,1,light green,None,,Straight,,FALSE,,,,,FALSE,heavy,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
15129,2983,2,1.25,1,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17409,2983,1,0.11,1,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17470,2994,1,0.15,1,light green,None,,Straight,,FALSE,,,,,FALSE,absent,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2960,1680,Drain,in situ,TRUE
17399,2983,1,0.43,1.1,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
16445,2675,1,0.51,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE
17423,2964,1,0.3,1.2,light green,Occasional,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17356,2965,2,0.6,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17424,2968,1,0.31,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
